source,split,profile,row,method,gap_rmse,gap_nrmse,gap_mae,visible_rmse,whole_rmse,gap_correlation,whole_correlation,selected_on_validation
chirp_9db,validation,short_gaps,12000,zero_fill,2.6346341763827072,1.0,1.775476575614415,0.0,0.46574192301651174,,0.935868778711246,
chirp_9db,validation,short_gaps,12000,linear,2.8613607097349876,1.08605617257405,1.8195628299786017,0.0,0.5058218903185906,0.08987922509003331,0.924545209752495,
chirp_9db,validation,short_gaps,12000,pchip,3.040443586885068,1.1540287506098958,1.885940541953112,0.0,0.5374795695253953,0.06602775662290818,0.9152117429748462,
chirp_9db,validation,short_gaps,12000,autoregression,2.490648623664753,0.945348939139762,1.56976314157054,0.0,0.4402886328365721,0.3456207637244777,0.9429193215942588,
chirp_9db,validation,short_gaps,12000,pca_r32_l01,12.707300823004854,4.823174669529145,7.274587511964138,0.0,2.2463546456310324,-0.14117751355130456,0.4266289763657088,
chirp_9db,validation,short_gaps,12000,pca_r64_l01,3.9346147320602607,1.4934197572212462,3.0404855633037,0.0,0.6955481895990753,0.30508826968657543,0.8724175081183353,
chirp_9db,validation,short_gaps,12000,pca_r96_l01,1.8221178555238875,0.6916018443310463,1.4844435321019596,0.0,0.3221079729405077,0.7389770264122324,0.970018147936993,
chirp_9db,validation,short_gaps,12000,pca_r64_l001,5.658517145695438,2.147743013591531,4.157914913536866,0.0,1.0002939612953978,0.1424886508695841,0.7717890058123109,
chirp_9db,validation,short_gaps,12000,pca_r64_l1,1.7225625816048846,0.653814710613799,1.4113210032423131,0.0,0.3045089206177549,0.7561129585585008,0.9731013368892877,
chirp_9db,validation,short_gaps,12000,template_1,3.1546577505919093,1.1973798028093534,1.8077442272541688,0.0,0.5576699719415599,0.5437121267444819,0.9173457202346668,
chirp_9db,validation,short_gaps,12000,dictionary_8,1.8446148590736389,0.7001407920724133,1.1629996323343623,0.0,0.32608491888210944,0.7510251854069085,0.9695090927407788,
chirp_9db,validation,short_gaps,12000,dictionary_24,2.5629043613331675,0.9727742789900254,1.588126376459085,0.0,0.4530617633578151,0.49509714983688907,0.9408023595623981,
chirp_9db,validation,short_gaps,12000,dictionary_48,3.17363463509511,1.204582656500888,1.9732297970372592,0.0,0.5610246428710617,0.12469572498896947,0.9081592237490196,
chirp_9db,validation,short_gaps,12000,local_pca_8,4.051169155834109,1.537659076979056,2.250099627207572,0.0,0.71615229545602,0.16869787033358188,0.8613628468943791,
chirp_9db,validation,short_gaps,12000,local_pca_16,1.6241107223025308,0.6164463882163701,1.1552677137260832,0.0,0.2871049262844753,0.8534179003181183,0.9772692658598575,
chirp_9db,validation,short_gaps,12000,local_pca_32,0.7852446759271559,0.2980469482124759,0.6169545629209183,0.0,0.1388129588096812,0.9546643751194827,0.9944730215863916,
chirp_9db,validation,short_gaps,12000,local_dictionary_8,1.8056836504258444,0.6853640883475546,1.1580517838922608,0.0,0.3192027884734485,0.7333764457550568,0.970448285779622,
chirp_9db,validation,short_gaps,12000,local_dictionary_24,0.8537424668191439,0.32404592427754536,0.5735269174016925,0.0,0.15092177191868691,0.95644431564728,0.9935673809026899,
chirp_9db,validation,short_gaps,12113,zero_fill,2.7498330587075768,1.0,2.068550718050677,0.0,0.48610640073576833,,0.9320211051779533,
chirp_9db,validation,short_gaps,12113,linear,4.348087950303329,1.58121888037339,3.398171602544017,0.0,0.7686406187137499,-0.08046294266827983,0.8407802800196957,
chirp_9db,validation,short_gaps,12113,pchip,4.871315458089326,1.7714949795457209,3.9438866560709966,0.0,0.8611350484284538,-0.04908870839345616,0.8090569637234779,
chirp_9db,validation,short_gaps,12113,autoregression,4.854095145457581,1.7652326675201908,3.577353875759248,0.0,0.8580908984694391,0.14189395934304813,0.8180398517870353,
chirp_9db,validation,short_gaps,12113,pca_r32_l01,5.429664983977074,1.9745434970256048,3.8806563873340076,0.0,0.959838232435334,0.07466382661908857,0.7820300172352823,
chirp_9db,validation,short_gaps,12113,pca_r64_l01,3.9175747246508683,1.4246591123943104,3.1813854922261924,0.0,0.6925359134014126,0.41226385446827263,0.8796833705263842,
chirp_9db,validation,short_gaps,12113,pca_r96_l01,3.501896831879211,1.2734943384254407,2.5873746081305273,0.0,0.6190537492093694,0.5609528773216005,0.9050757248662233,
chirp_9db,validation,short_gaps,12113,pca_r64_l001,4.439535660121904,1.6144746118546152,3.579417480270961,0.0,0.7848064426479234,0.3880087841714063,0.8536693024336244,
chirp_9db,validation,short_gaps,12113,pca_r64_l1,2.850460712471049,1.0365940955742117,2.3109144255422405,0.0,0.5038950248235291,0.48329150551738254,0.9298444818419893,
chirp_9db,validation,short_gaps,12113,template_1,3.3710883649193217,1.225924735410569,2.7433004879496488,0.0,0.5959298607033808,0.16151209521306503,0.8999602732007992,
chirp_9db,validation,short_gaps,12113,dictionary_8,2.5903650938444587,0.942008128690522,2.0696938144241015,0.0,0.45791618090158615,0.403740243716329,0.9401124184069585,
chirp_9db,validation,short_gaps,12113,dictionary_24,3.122061885728969,1.1353641545048339,2.3972224450473503,0.0,0.5519077826707535,0.04865507837014177,0.9124674033139335,
chirp_9db,validation,short_gaps,12113,dictionary_48,3.3388887794723376,1.2142150844028392,2.7681028427665346,0.0,0.5902377243981413,0.14667083428062463,0.9015593930835998,
chirp_9db,validation,short_gaps,12113,local_pca_8,3.664342770218381,1.3325691749231585,2.8460092689940306,0.0,0.6477704053533291,0.2770588807744242,0.8870863896041028,
chirp_9db,validation,short_gaps,12113,local_pca_16,3.1716056080714257,1.1533811472766577,2.4123812616455207,0.0,0.5606659581791472,0.4852481128710712,0.9161520633379235,
chirp_9db,validation,short_gaps,12113,local_pca_32,3.1593075765661305,1.1489088643261154,2.5219318189672206,0.0,0.5584919528109872,0.35529424052389635,0.9136512979307558,
chirp_9db,validation,short_gaps,12113,local_dictionary_8,1.9658367758171367,0.7148931349094629,1.4133453208864697,0.0,0.347514128721549,0.6992076033928777,0.9658615580989501,
chirp_9db,validation,short_gaps,12113,local_dictionary_24,2.2092569705871807,0.8034149431695075,1.6434099915420033,0.0,0.39054514632146115,0.62434879845573,0.9569053378555002,
chirp_9db,validation,short_gaps,12226,zero_fill,4.3655905819156535,1.0,3.570274513963457,0.0,0.7717346760891711,,0.8563168658408421,
chirp_9db,validation,short_gaps,12226,linear,6.7402353382957365,1.543945821721576,4.846884288578828,0.0,1.1915165286255296,-0.009349470436140456,0.697131149207215,
chirp_9db,validation,short_gaps,12226,pchip,6.892804236883286,1.5788938764520315,4.985883206079624,0.0,1.2184871543228843,-0.009081679563428622,0.687937656999166,
chirp_9db,validation,short_gaps,12226,autoregression,2.9704611712869706,0.6804259619745446,2.5133202517285333,0.0,0.5251083093670879,0.7338714354245923,0.9362608721208895,
chirp_9db,validation,short_gaps,12226,pca_r32_l01,5.0470316337236945,1.1560936691202544,3.934605041055864,0.0,0.892197573267261,-0.08122798765004759,0.8070184262681613,
chirp_9db,validation,short_gaps,12226,pca_r64_l01,4.59497371439784,1.0525434367190547,3.855684238414012,0.0,0.8122842682061628,0.33963930750977,0.8461980443574393,
chirp_9db,validation,short_gaps,12226,pca_r96_l01,5.535836578609885,1.2680613252057913,4.434391508263281,0.0,0.9786068960688966,0.37194447780745316,0.801424386332132,
chirp_9db,validation,short_gaps,12226,pca_r64_l001,5.563680206111344,1.2744393001851217,4.636029003055409,0.0,0.9835290005236749,0.31236391092659854,0.7938683448955857,
chirp_9db,validation,short_gaps,12226,pca_r64_l1,4.343609652303313,0.9949649585319806,3.5722134465966464,0.0,0.7678489599927537,0.27681394970058654,0.8588583734244407,
chirp_9db,validation,short_gaps,12226,template_1,4.193364849759082,0.9605492707286816,3.3164603562783705,0.0,0.7412891803134888,0.3046672988322944,0.8683055605827167,
chirp_9db,validation,short_gaps,12226,dictionary_8,4.384999928469806,1.00444598415494,3.7089623889815013,0.0,0.7751657962308813,0.05841954532859787,0.8549488061226559,
chirp_9db,validation,short_gaps,12226,dictionary_24,4.44862438246168,1.0190200613154132,3.7134899097385885,0.0,0.7864131169476177,-0.03107142453941385,0.8503781071880702,
chirp_9db,validation,short_gaps,12226,dictionary_48,4.358240566066184,0.99831637536513,3.734527410464299,0.0,0.7704353645769241,0.18191829288687447,0.8570427037561803,
chirp_9db,validation,short_gaps,12226,local_pca_8,4.341706920051181,0.9945291109149333,3.2772199328131775,0.0,0.7675126012731875,0.26056346595140584,0.8587530117011634,
chirp_9db,validation,short_gaps,12226,local_pca_16,4.100692650564635,0.9393213984727858,2.920414119531672,0.0,0.7249068951940227,0.3466828316109971,0.8744739938996249,
chirp_9db,validation,short_gaps,12226,local_pca_32,2.7910519281607966,0.6393297483558484,2.0930142352370638,0.0,0.493392936261572,0.7770062750434443,0.9441637185210767,
chirp_9db,validation,short_gaps,12226,local_dictionary_8,4.238003844803754,0.9707744611598659,3.186138294592086,0.0,0.7491803143388488,0.2687519744956384,0.8653595547269318,
chirp_9db,validation,short_gaps,12226,local_dictionary_24,3.4913790568407497,0.7997495393415263,2.6192919251799407,0.0,0.6171944516961967,0.6231414402244866,0.9110059841107077,
chirp_9db,validation,short_gaps,12339,zero_fill,4.717050890970224,1.0,2.533548836587158,0.0,0.8338646680517728,,0.8035857086663066,
chirp_9db,validation,short_gaps,12339,linear,6.360481136528631,1.3484020595801498,3.1100054002920947,0.0,1.1243848358121284,-0.1500252422311429,0.6552096146874276,
chirp_9db,validation,short_gaps,12339,pchip,5.775354559568555,1.2243570597519362,2.8308230319696084,0.0,1.020948093206893,-0.24147398631392245,0.7025535353990301,
chirp_9db,validation,short_gaps,12339,autoregression,13.631824341548066,2.8899040219479617,7.52791715660954,0.0,2.40978885796312,0.4061629985423683,0.5392922579521806,
chirp_9db,validation,short_gaps,12339,pca_r32_l01,8.394645334226242,1.7796384919857402,4.705453864015287,0.0,1.483977660371847,0.4639350652234744,0.6778245050299146,
chirp_9db,validation,short_gaps,12339,pca_r64_l01,2.5397798688243522,0.5384253694795221,1.6004651959721563,0.0,0.44897389199169485,0.9641265577977185,0.9687408834777521,
chirp_9db,validation,short_gaps,12339,pca_r96_l01,1.833648568513325,0.388727747674601,1.1849706981490309,0.0,0.32414633427719447,0.9488421519154776,0.9769131731250239,
chirp_9db,validation,short_gaps,12339,pca_r64_l001,3.46824683472589,0.735257455323431,2.169869877696034,0.0,0.613105213915864,0.9444662273741772,0.947669269690713,
chirp_9db,validation,short_gaps,12339,pca_r64_l1,1.2130347822158187,0.25715957072625867,0.8707722897448875,0.0,0.21443628007998808,0.9764029905257532,0.9896431178539953,
chirp_9db,validation,short_gaps,12339,template_1,1.773614643695539,0.3760007438314353,1.0360819768226577,0.0,0.31353373544221946,0.9379466126493258,0.9761601202908228,
chirp_9db,validation,short_gaps,12339,dictionary_8,1.656703818438774,0.35121601541551645,0.90262458980302,0.0,0.29286662610892594,0.9428031070179671,0.9787660834985777,
